Date,Close,Open,High,Low,Volume,Change%
2019-12-17,183.08,183.31,184.51,182.52,25970,-0.07
2019-12-16,183.21,181.49,183.97,181.49,14600,1.0
2019-12-13,181.4,181.01,182.87,180.98,11000,0.27
2019-12-12,180.91,180.25,181.44,179.83,10520,0.37
2019-12-11,180.25,179.13,180.38,178.27,6200,0.63
2019-12-10,179.13,180.27,180.52,178.43,6740,-0.64
2019-12-09,180.28,180.34,181.83,179.78,7530,-0.04
2019-12-06,180.35,179.47,181.13,179.47,6900,0.49
2019-12-05,179.47,179.65,181.04,178.94,10440,-0.1
2019-12-04,179.65,177.57,179.95,176.95,10660,1.17
2019-12-03,177.57,177.09,178.79,176.14,9360,0.27
2019-12-02,177.09,181.11,181.62,177.01,14710,-2.22
2019-11-29,181.11,181.48,182.16,180.69,9310,-0.24
2019-11-28,181.55,183.17,184.41,180.9,9740,-0.91
2019-11-27,183.21,183.58,184.42,183.1,6940,-0.34
2019-11-26,183.84,183.05,184.46,182.91,9180,0.41
2019-11-25,183.09,183.08,184.18,182.4,9480,-0.02
2019-11-22,183.12,185.99,186.61,182.6,14610,-1.5
2019-11-21,185.91,184.42,187.13,184.12,9940,-0.36
2019-11-20,186.59,187.28,187.28,185.85,9280,-0.14
2019-11-19,186.86,186.24,187.33,185.67,7710,0.33
2019-11-18,186.24,187.44,188.8,186.07,9260,-0.68
2019-11-15,187.51,187.48,188.36,186.78,11290,0.02
2019-11-14,187.48,188.97,189.4,187.26,11180,-0.79
2019-11-13,188.97,189.79,190.94,188.38,15550,-0.43
2019-11-12,189.79,189.2,190.28,188.88,12880,0.31
2019-11-11,189.2,190.43,190.82,188.42,12340,-0.67
2019-11-08,190.47,190.19,191.25,189.89,14360,0.33
2019-11-07,189.85,189.08,189.95,188.31,11740,0.41
2019-11-06,189.08,189.37,190.2,188.6,10820,-0.15
2019-11-05,189.37,187.72,189.37,187.7,18180,0.88
2019-11-04,187.72,186.28,188.48,186.23,16690,0.78
2019-11-01,186.27,185.29,187.11,184.83,12820,0.53
2019-10-31,185.29,186.13,187.27,184.84,12850,-0.39
2019-10-30,186.01,185.07,186.52,184.31,14850,0.58
2019-10-29,184.94,186.41,186.85,184.32,7150,-0.55
2019-10-28,185.97,185.41,187.56,185.22,10930,0.3
2019-10-25,185.42,185.35,186.06,184.58,10470,0.18
2019-10-24,185.09,184.01,185.28,183.89,6520,0.59
2019-10-23,184.01,185.19,185.59,183.42,9250,-0.64
2019-10-22,185.19,184.44,185.31,184.08,9660,0.41
2019-10-21,184.44,186.26,186.35,184.12,15890,-0.99
2019-10-18,186.28,187.97,188.22,185.59,12560,-0.9
2019-10-17,187.97,188.3,188.3,186.27,9220,-0.04
2019-10-16,188.05,189.03,189.69,187.87,15150,-0.23
2019-10-15,188.49,188.01,188.81,187.02,10650,0.26
2019-10-14,188.01,188.86,190.35,187.93,16990,-0.32
2019-10-11,188.61,188.08,188.72,187.43,9420,0.28
2019-10-10,188.08,187.61,189.48,187.08,13820,0.25
2019-10-09,187.61,186.67,188.41,186.6,12930,0.5
2019-10-08,186.67,187.4,187.44,185.51,12370,-0.4
2019-10-07,187.42,191.21,191.21,186.96,11050,-2.02
2019-10-04,191.28,192.27,192.64,190.76,10260,-0.5
2019-10-03,192.24,191.47,192.24,189.58,9850,0.4
2019-10-02,191.47,192.18,192.87,191.42,10840,-0.49
2019-10-01,192.42,191.08,192.42,190.53,12030,0.7
2019-09-30,191.08,192.12,193.66,190.8,12610,-0.54
2019-09-27,192.12,195.09,195.09,191.85,12540,-0.44
2019-09-26,192.96,190.97,193.08,190.87,15970,1.04
2019-09-25,190.97,189.94,190.97,189.01,10650,0.54
2019-09-24,189.94,190.76,191.21,189.35,11460,-0.43
2019-09-23,190.76,189.72,192.17,189.57,13580,0.54
2019-09-20,189.73,190.31,193.24,189.55,13500,-0.3
2019-09-19,190.31,186.72,190.31,186.55,16740,1.85
2019-09-18,186.85,186.83,188.22,185.63,10070,-0.11
2019-09-17,187.06,186.92,187.49,186.08,12730,0.28
2019-09-16,186.54,184.82,186.97,184.82,14430,0.86
2019-09-13,184.95,182.77,185.15,182.77,12610,1.2
2019-09-12,182.76,181.2,183.34,180.77,10380,0.86
2019-09-11,181.2,180.25,181.2,178.58,10870,0.28
2019-09-10,180.69,183.42,183.77,179.13,17050,-1.49
2019-09-09,183.42,181.76,184.72,181.38,6990,-0.49
2019-09-06,184.32,184.04,185.16,183.51,7010,0.18
2019-09-05,183.99,184.13,185.44,183.46,7820,-0.08
2019-09-04,184.13,185.05,185.55,183.07,14590,-0.52
2019-09-03,185.1,188.78,189.77,185.1,11670,-1.72
2019-08-30,188.34,188.77,190.15,188.3,10870,-0.09
2019-08-29,188.51,189.27,190.12,188.09,8380,-0.31
2019-08-28,189.09,189.46,190.38,189.09,9820,-0.36
2019-08-27,189.77,189.83,191.25,189.02,13000,-0.02
2019-08-26,189.81,190.85,190.85,188.34,14030,-0.54
2019-08-23,190.85,190.73,191.52,189.89,13140,0.06
2019-08-22,190.73,190.98,192.62,190.58,13080,-0.36
2019-08-21,191.42,191.55,192.72,190.87,19890,-0.03
2019-08-20,191.48,190.9,192.03,190.23,15730,0.3
2019-08-19,190.9,190.27,192.37,190.05,10020,0.33
2019-08-16,190.27,188.95,191.57,188.95,14290,0.71
2019-08-15,188.92,189.3,189.3,186.0,12730,-0.2
2019-08-14,189.3,189.23,191.41,188.53,13320,0.04
2019-08-13,189.23,190.69,190.88,187.96,11790,-0.77
2019-08-12,190.69,190.89,192.23,190.24,12430,-0.1
2019-08-09,190.89,190.69,192.54,189.92,14460,0.1
2019-08-08,190.69,187.45,191.6,186.69,12560,1.05
2019-08-07,188.71,188.18,190.59,187.66,11910,0.28
2019-08-06,188.18,188.89,190.65,186.71,20910,-1.36
2019-08-05,190.78,192.19,192.28,189.81,18060,-0.73
2019-08-02,192.19,191.38,192.43,188.56,13490,0.44
2019-08-01,191.35,191.58,192.37,190.47,12390,-0.12
2019-07-31,191.58,190.57,191.58,189.23,22130,0.53
2019-07-30,190.57,193.01,194.21,190.57,15360,-1.26
2019-07-29,193.01,195.29,195.82,192.07,13120,-1.29
2019-07-26,195.54,196.19,196.96,194.43,13760,-0.33
2019-07-25,196.19,195.17,196.63,195.17,15250,0.39
2019-07-24,195.42,195.69,197.81,195.08,19770,-0.08
2019-07-23,195.57,195.0,195.94,194.81,15400,0.29
2019-07-22,195.0,198.86,198.86,193.75,15360,-0.45
2019-07-19,195.89,196.81,197.07,195.18,19330,0.12
2019-07-18,195.66,196.15,196.68,194.76,18410,-0.31
2019-07-17,196.27,195.08,197.37,194.84,23220,0.5
2019-07-16,195.3,194.57,195.71,194.5,15840,0.59
2019-07-15,194.16,194.52,195.42,194.1,12640,-0.12
2019-07-12,194.4,193.93,195.6,193.93,17530,0.24
2019-07-11,193.93,192.43,194.66,192.43,15170,0.78
2019-07-10,192.43,191.27,192.8,191.27,14680,0.61
2019-07-09,191.27,188.89,191.58,188.04,10400,0.94
2019-07-08,189.48,190.77,191.06,188.8,9380,-0.68
2019-07-05,190.77,190.67,191.9,190.44,8890,0.05
2019-07-04,190.67,189.58,191.5,189.44,12200,0.57
2019-07-03,189.58,188.39,190.53,188.21,9740,0.82
2019-07-02,188.04,189.72,189.72,187.88,15750,-0.67
2019-07-01,189.31,188.81,190.11,188.56,12740,0.53
2019-06-28,188.31,186.74,188.31,185.18,14130,0.84
2019-06-27,186.74,188.57,189.14,185.86,18320,-0.97
2019-06-26,188.57,188.8,189.59,188.26,13270,-0.08
2019-06-25,188.73,189.98,190.22,188.27,13590,-0.65
2019-06-24,189.96,190.56,191.38,189.77,12230,-0.31
2019-06-21,190.56,191.25,192.36,190.03,12950,-0.4
2019-06-20,191.32,188.92,191.34,187.67,13080,1.27
2019-06-19,188.92,189.43,189.63,187.94,10840,-0.17
2019-06-18,189.24,188.58,189.24,187.84,10550,0.35
2019-06-17,188.58,188.35,189.67,187.53,11310,0.16
2019-06-14,188.27,189.21,190.36,188.27,9420,-0.47
2019-06-13,189.15,189.36,190.0,188.6,9750,-0.11
2019-06-12,189.36,190.42,190.47,188.85,9040,-0.56
2019-06-11,190.42,190.45,191.47,189.61,10290,-0.19
2019-06-10,190.79,191.19,193.07,190.63,8670,-0.21
2019-06-07,191.19,187.18,191.21,187.18,12050,2.18
2019-06-06,187.11,187.41,187.7,185.79,9700,-0.16
2019-06-05,187.41,187.31,189.4,186.6,10290,0.02
2019-06-04,187.37,187.08,188.47,186.43,10270,0.19
2019-06-03,187.02,190.45,190.46,186.29,17670,-1.59
2019-05-31,190.04,193.25,193.37,189.75,15210,-1.66
2019-05-30,193.25,193.2,194.18,191.85,10880,0.03
2019-05-29,193.2,193.81,194.53,192.55,13790,-0.31
2019-05-28,193.81,193.63,194.61,192.89,14000,0.03
2019-05-27,193.75,193.1,194.21,193.03,9980,0.28
2019-05-24,193.2,196.05,196.05,192.94,20440,-1.21
2019-05-23,195.57,194.59,195.57,193.38,18510,0.5
2019-05-22,194.59,195.8,196.66,194.22,24300,-0.62
2019-05-21,195.8,196.89,197.86,195.6,13800,-0.52
2019-05-20,196.82,195.07,197.79,194.65,16490,0.9
2019-05-17,195.07,195.78,197.07,195.01,19190,-0.36
2019-05-16,195.78,196.43,197.55,195.73,14410,-0.33
2019-05-15,196.43,194.74,197.38,194.74,17580,0.62
2019-05-14,195.21,193.53,195.37,192.5,20510,0.87
2019-05-13,193.53,194.06,194.76,193.4,16910,-0.21
2019-05-10,193.94,192.15,194.53,192.08,12460,0.95
2019-05-09,192.12,193.55,193.99,191.45,9930,-0.74
2019-05-08,193.55,193.31,194.06,191.66,13920,0.12
2019-05-07,193.31,192.12,194.23,191.73,14660,0.82
2019-05-06,191.73,195.09,195.09,190.99,21450,-1.72
2019-05-03,195.09,195.83,196.51,194.66,10200,-0.5
2019-05-02,196.07,195.22,197.35,195.16,18580,0.19
2019-04-26,195.7,191.73,196.17,191.73,11140,0.65
2019-04-25,194.44,195.0,195.98,194.2,9990,-0.29
2019-04-24,195.0,193.61,195.57,193.49,16820,0.72
2019-04-23,193.61,192.85,194.24,192.35,11960,0.51
2019-04-22,192.63,191.51,193.5,190.93,14180,0.5
2019-04-19,191.68,190.96,192.82,190.94,8280,0.23
2019-04-18,191.24,193.56,194.01,190.3,15620,-1.0
2019-04-17,193.17,195.57,196.59,193.16,13800,-1.23
2019-04-16,195.57,196.92,196.92,193.93,15710,-0.69
2019-04-12,196.93,196.12,197.0,195.1,11740,0.41
2019-04-11,196.12,196.42,197.33,195.73,10210,-0.15
2019-04-10,196.41,196.16,197.35,194.32,16710,0.11
2019-04-09,196.19,200.08,200.86,196.19,21590,-1.94
2019-04-08,200.08,198.06,200.29,197.77,23240,1.02
2019-04-05,198.06,196.59,198.28,196.28,12860,0.75
2019-04-04,196.59,196.11,197.17,195.68,16740,0.31
2019-04-03,195.99,196.11,196.43,194.86,17550,0.06
2019-04-02,195.88,196.35,198.12,195.02,15040,-0.24
2019-04-01,196.35,194.97,196.68,194.92,12670,0.83
2019-03-29,194.74,194.85,196.9,194.57,16770,-0.06
2019-03-28,194.85,196.46,196.46,194.29,15550,-0.63
